subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,subtopik_icon,sort,key,title,url,type,blurb,preview_url
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,1,opr-manjung-2025-00,PROGRAM ORIENTASI PENGGUNAAN PUSAT SUMBER MURID TAHUN EMPAT SESI 2025/2026,https://drive.google.com/open?id=1dPZPuVSIR8NZMMOqDuiPyHbNrqTwN0_QrfKzXBKY8nA,pdf,OPR#PERAKDRIFT-0001 · SIAP · PENGURUSAN · 2/17/2025 · ABC1049 SJKC PING MIN · AEB1031 SMK NAN HWA,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,2,opr-manjung-2025-01,PROGRAM R.E.A.D-READ EVERYWHERE AND DIGITALLY SEMPENA DEKAD MEMBACA KEBANGSAAN TAHUN 2025,https://drive.google.com/open?id=1gbpyU3Os1XKDd6ie4UGrab3bnF0xbQl41f9uHPQ5c8A,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA 1006 SK AYER TAWAR · ABA1032 SK KPG.DATO' SERI KAMARUDDIN,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,3,opr-manjung-2025-02,JOM BACA BERSAMA 10 MINIT NIKMATI SAAT INI,https://drive.google.com/open?id=1fxxJ8EdZqJaE6Dl95Ha7KqzVEdDNNRdqmr-Vcv6wJQ4,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA1020 SK SUNGAI TIRAM · ABB1043 SK SERI SERDANG,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,4,opr-manjung-2025-03,PERAK R.E.A.D 2025 : READING EVERYWHERE AND DIGITALLY,https://drive.google.com/open?id=1CL4W7X22fIGzM8IGTymALRM6fqIjYYQRQ41fcMtFU9k,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABC1057 SJKC PEKAN GURNEY · ABC1059 SJKC KOK MING,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,5,opr-manjung-2025-04,PROGRAM PERAK R.E.A.D TAHUN 2025,https://drive.google.com/open?id=1l2sr_Nhz2nfnR-7kXruXEz39P83wezOhY86-op1KfLo,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA1030 SK GUGUSAN LEKIR · AEA1109 SMK SERI MANJUNG,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,6,opr-manjung-2025-05,PROGRAM PERAK READ JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1v8Z1-biqRGuTWbckq_21VmFncpMjkhJWZfS3-medQUE,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABD1089 SJKT MUKIM PUNDUT · ABC1057 SJKC PEKAN GURNEY,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,7,opr-manjung-2025-06,PELUNCURAN PROGRM NILAM PERINGKAT SEKOLAH,https://drive.google.com/open?id=17tL3TT-1Wy0TOF-kVoUGGdwiK1fDrOfe3swcQRzzS-4,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA 1024 SK TELAGA NANAS · AEA1113 SMK PANTAI REMIS,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,8,opr-manjung-2025-07,PROGRAM JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1aD8LC8dtqktZKJrWOLi6wkvbMbVLtBN0pxm1diVeHyY,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABB1041 SK METHODIST AYER TAWAR · ABA 1001 SK DENDANG,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,9,opr-manjung-2025-08,MAJLIS WATIKAH PELANTIKAN PENGAWAS PUSAT SUMBER SESI 2025,https://drive.google.com/open?id=1Zd9R-HK9uZo_ya3UzeHkRs-3yRYJapHKuRLjCozFUk0,pdf,OPR#PERAKDRIFT-0001 · SIAP · PENGURUSAN · 3/17/2025 · AEA1113 SMK PANTAI REMIS · AEA1113 SMK PANTAI REMIS,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,10,opr-manjung-2025-09,PERAK READ,https://drive.google.com/open?id=1lhPWP75FJFcgnQjqnP_vWSYAcchstnKcoAVIcUS3hog,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA 1003 SK KAMPUNG KOTA · ABC1069 SJKC TIT BIN,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,11,opr-manjung-2025-10,PROGRAM PERAK R.E.A.D 2025,https://drive.google.com/open?id=1CDciBxW4bT9eFe6YO4K3aeGfsufM3EgbhfXuCR7oQxA,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABC1069 SJKC TIT BIN · ABC1066 SJKC KHUEN HEAN,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,12,opr-manjung-2025-11,JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=18Vgd-yxIdUWHzr8O02SXwS0rkmdXBytJWNmw-QRNgBs,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABB1042 SK CONVENT · ABC1049 SJKC PING MIN,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,13,opr-manjung-2025-12,PROGRAM JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1AsHxV5A2bRU1LnO0CtDF-drW4JW_nKdDYAxfkgr78o0,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABA1028 SK SERI MANJUNG · ABC 1063 SJKC KAMPUNG JERING,
opr-2025,OPR 2025,1,Kad OPR Amalan Membaca Manjung (2025) — satu program satu pautan Drive,doc,14,opr-manjung-2025-13,JOM BACA BERSAMA 10 MINIT 2025,https://drive.google.com/open?id=1Wadq-qwcp7OwGNlKM_PbjNu9DTNdyxkCPrJ1AkG2jH8,pdf,OPR#PERAKDRIFT-0001 · SIAP · PROGRAM GALAKAN MEMBACA · 4/23/2025 · ABC1046 SJKC HWA LIAN 1 · ABA1016 SK SITIAWAN,
